Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
house.pgm,512,512,0.5,30,80,29.694208,1.443104,20.57
house.pgm,512,512,0.5,30,100,29.743937,1.443360,20.60
house.pgm,512,512,0.5,30,120,35.733566,1.436160,24.88
house.pgm,512,512,0.5,50,80,37.429153,1.540128,24.30
house.pgm,512,512,0.5,50,100,30.893921,1.452672,21.26
house.pgm,512,512,0.5,50,120,37.496769,1.550240,24.18
house.pgm,512,512,0.5,70,80,30.003967,1.417696,21.16
house.pgm,512,512,0.5,70,100,29.980480,1.440768,20.80
house.pgm,512,512,0.5,70,120,31.010368,1.457888,21.27
house.pgm,512,512,1.0,30,80,31.083328,1.449024,21.45
house.pgm,512,512,1.0,30,100,31.297312,1.451808,21.55
house.pgm,512,512,1.0,30,120,29.957567,1.437536,20.83
house.pgm,512,512,1.0,50,80,31.106880,1.447776,21.48
house.pgm,512,512,1.0,50,100,36.872128,1.508960,24.43
house.pgm,512,512,1.0,50,120,30.006241,1.426144,21.04
house.pgm,512,512,1.0,70,80,29.623680,1.433984,20.65
house.pgm,512,512,1.0,70,100,31.016865,1.462432,21.20
house.pgm,512,512,1.0,70,120,31.028929,1.433984,21.63
house.pgm,512,512,1.5,30,80,29.679935,1.454560,20.40
house.pgm,512,512,1.5,30,100,30.833824,1.448480,21.28
house.pgm,512,512,1.5,30,120,31.106625,1.437248,21.64
house.pgm,512,512,1.5,50,80,29.815744,1.437728,20.73
house.pgm,512,512,1.5,50,100,29.832865,1.444608,20.65
house.pgm,512,512,1.5,50,120,31.112160,1.440928,21.59
house.pgm,512,512,1.5,70,80,36.699360,1.449920,25.31
house.pgm,512,512,1.5,70,100,29.837889,1.442720,20.68
house.pgm,512,512,1.5,70,120,29.861343,1.449056,20.60
house.pgm,512,512,2.0,30,80,30.167553,1.455264,20.72
house.pgm,512,512,2.0,30,100,29.835903,1.446784,20.62
house.pgm,512,512,2.0,30,120,29.992031,1.445568,20.74
house.pgm,512,512,2.0,50,80,32.096992,1.444960,22.21
house.pgm,512,512,2.0,50,100,29.922337,1.429376,20.93
house.pgm,512,512,2.0,50,120,31.069120,1.448320,21.45
house.pgm,512,512,2.0,70,80,29.833408,1.425216,20.93
house.pgm,512,512,2.0,70,100,29.811199,1.434208,20.78
house.pgm,512,512,2.0,70,120,30.594368,1.435264,21.31
house.pgm,512,512,2.5,30,80,31.157921,1.468704,21.21
house.pgm,512,512,2.5,30,100,30.759968,1.459360,21.07
house.pgm,512,512,2.5,30,120,30.941984,1.435328,21.55
house.pgm,512,512,2.5,50,80,31.222048,1.468800,21.25
house.pgm,512,512,2.5,50,100,30.847103,1.438016,21.45
house.pgm,512,512,2.5,50,120,30.916800,1.439424,21.47
house.pgm,512,512,2.5,70,80,30.634720,1.460800,20.97
house.pgm,512,512,2.5,70,100,30.929279,1.444192,21.41
house.pgm,512,512,2.5,70,120,30.866880,1.448608,21.30
jetplane.pgm,512,512,0.5,30,80,30.070240,1.410880,21.31
jetplane.pgm,512,512,0.5,30,100,31.069088,1.473216,21.08
jetplane.pgm,512,512,0.5,30,120,30.757984,1.424448,21.59
jetplane.pgm,512,512,0.5,50,80,31.062592,1.438016,21.60
jetplane.pgm,512,512,0.5,50,100,29.933825,1.435296,20.85
jetplane.pgm,512,512,0.5,50,120,30.803776,1.439968,21.39
jetplane.pgm,512,512,0.5,70,80,29.628704,1.414144,20.95
jetplane.pgm,512,512,0.5,70,100,30.235552,1.419584,21.29
jetplane.pgm,512,512,0.5,70,120,30.927423,1.433536,21.57
jetplane.pgm,512,512,1.0,30,80,35.771168,1.443424,24.78
jetplane.pgm,512,512,1.0,30,100,37.900288,1.447008,26.19
jetplane.pgm,512,512,1.0,30,120,36.944962,1.426816,25.89
jetplane.pgm,512,512,1.0,50,80,30.922752,1.456864,21.22
jetplane.pgm,512,512,1.0,50,100,30.232128,1.421728,21.26
jetplane.pgm,512,512,1.0,50,120,30.731552,1.430752,21.47
jetplane.pgm,512,512,1.0,70,80,29.956961,1.421472,21.07
jetplane.pgm,512,512,1.0,70,100,29.611391,1.422848,20.81
jetplane.pgm,512,512,1.0,70,120,31.359968,1.452192,21.59
jetplane.pgm,512,512,1.5,30,80,31.940289,1.480416,21.57
jetplane.pgm,512,512,1.5,30,100,29.895264,1.421024,21.03
jetplane.pgm,512,512,1.5,30,120,38.158176,1.448192,26.34
jetplane.pgm,512,512,1.5,50,80,30.901312,1.433696,21.55
jetplane.pgm,512,512,1.5,50,100,30.906080,1.445120,21.38
jetplane.pgm,512,512,1.5,50,120,30.738913,1.456000,21.11
jetplane.pgm,512,512,1.5,70,80,30.754560,1.435136,21.42
jetplane.pgm,512,512,1.5,70,100,35.684673,1.464544,24.36
jetplane.pgm,512,512,1.5,70,120,30.647360,1.425376,21.50
jetplane.pgm,512,512,2.0,30,80,30.021215,1.427520,21.03
jetplane.pgm,512,512,2.0,30,100,30.241089,1.428256,21.17
jetplane.pgm,512,512,2.0,30,120,36.773376,1.429472,25.72
jetplane.pgm,512,512,2.0,50,80,29.816000,1.423232,20.94
jetplane.pgm,512,512,2.0,50,100,31.120577,1.435392,21.68
jetplane.pgm,512,512,2.0,50,120,30.927296,1.428512,21.65
jetplane.pgm,512,512,2.0,70,80,29.854368,1.421056,21.00
jetplane.pgm,512,512,2.0,70,100,29.670624,1.468128,20.20
jetplane.pgm,512,512,2.0,70,120,35.488064,1.503968,23.59
jetplane.pgm,512,512,2.5,30,80,30.955776,1.450336,21.34
jetplane.pgm,512,512,2.5,30,100,37.031776,1.450528,25.52
jetplane.pgm,512,512,2.5,30,120,36.402657,1.425984,25.52
jetplane.pgm,512,512,2.5,50,80,30.124063,1.414784,21.29
jetplane.pgm,512,512,2.5,50,100,33.290081,1.435168,23.19
jetplane.pgm,512,512,2.5,50,120,37.970047,1.437152,26.42
jetplane.pgm,512,512,2.5,70,80,30.899649,1.457696,21.19
jetplane.pgm,512,512,2.5,70,100,33.340031,1.439104,23.16
jetplane.pgm,512,512,2.5,70,120,30.740225,1.409664,21.80
lake.pgm,512,512,0.5,30,80,37.418079,1.457088,25.68
lake.pgm,512,512,0.5,30,100,30.000799,1.444448,20.76
lake.pgm,512,512,0.5,30,120,30.821856,1.448832,21.27
lake.pgm,512,512,0.5,50,80,30.987104,1.440096,21.51
lake.pgm,512,512,0.5,50,100,36.962399,1.441536,25.64
lake.pgm,512,512,0.5,50,120,30.177248,1.412768,21.36
lake.pgm,512,512,0.5,70,80,29.562336,1.412832,20.92
lake.pgm,512,512,0.5,70,100,36.938847,1.445952,25.54
lake.pgm,512,512,0.5,70,120,37.779202,1.446112,26.12
lake.pgm,512,512,1.0,30,80,30.904961,1.457696,21.20
lake.pgm,512,512,1.0,30,100,30.900127,1.425696,21.67
lake.pgm,512,512,1.0,30,120,31.195488,1.425888,21.87
lake.pgm,512,512,1.0,50,80,31.021761,1.464928,21.17
lake.pgm,512,512,1.0,50,100,29.785473,1.409408,21.13
lake.pgm,512,512,1.0,50,120,29.860449,1.430464,20.87
lake.pgm,512,512,1.0,70,80,37.378624,1.489408,25.09
lake.pgm,512,512,1.0,70,100,30.174240,1.443648,20.90
lake.pgm,512,512,1.0,70,120,31.246944,1.436480,21.75
lake.pgm,512,512,1.5,30,80,30.111168,1.417728,21.23
lake.pgm,512,512,1.5,30,100,29.618303,1.435040,20.63
lake.pgm,512,512,1.5,30,120,31.139681,1.426464,21.82
lake.pgm,512,512,1.5,50,80,30.942017,1.457088,21.23
lake.pgm,512,512,1.5,50,100,30.712193,1.425344,21.54
lake.pgm,512,512,1.5,50,120,30.905151,1.423648,21.70
lake.pgm,512,512,1.5,70,80,29.468672,1.408544,20.92
lake.pgm,512,512,1.5,70,100,31.100384,1.432672,21.70
lake.pgm,512,512,1.5,70,120,30.793728,1.455040,21.16
lake.pgm,512,512,2.0,30,80,30.127712,1.428640,21.08
lake.pgm,512,512,2.0,30,100,29.616512,1.422880,20.81
lake.pgm,512,512,2.0,30,120,29.952448,1.412480,21.20
lake.pgm,512,512,2.0,50,80,29.855137,1.451264,20.57
lake.pgm,512,512,2.0,50,100,30.857376,1.476064,20.90
lake.pgm,512,512,2.0,50,120,29.582657,1.427008,20.73
lake.pgm,512,512,2.0,70,80,31.068417,1.435840,21.63
lake.pgm,512,512,2.0,70,100,30.980032,1.450624,21.35
lake.pgm,512,512,2.0,70,120,29.758911,1.419712,20.96
lake.pgm,512,512,2.5,30,80,30.817856,1.447808,21.28
lake.pgm,512,512,2.5,30,100,31.265184,1.458432,21.43
lake.pgm,512,512,2.5,30,120,31.111776,1.451296,21.43
lake.pgm,512,512,2.5,50,80,30.653343,1.447136,21.18
lake.pgm,512,512,2.5,50,100,29.588160,1.443040,20.50
lake.pgm,512,512,2.5,50,120,30.014879,1.419552,21.14
lake.pgm,512,512,2.5,70,80,37.356354,1.452800,25.71
lake.pgm,512,512,2.5,70,100,30.844000,1.432224,21.53
lake.pgm,512,512,2.5,70,120,29.986977,1.438848,20.84
livingroom.pgm,512,512,0.5,30,80,29.901119,1.435520,20.82
livingroom.pgm,512,512,0.5,30,100,31.138176,1.433760,21.71
livingroom.pgm,512,512,0.5,30,120,31.187777,1.456896,21.40
livingroom.pgm,512,512,0.5,50,80,29.711937,1.428832,20.79
livingroom.pgm,512,512,0.5,50,100,29.759872,1.436224,20.72
livingroom.pgm,512,512,0.5,50,120,30.886208,1.433408,21.54
livingroom.pgm,512,512,0.5,70,80,30.735744,1.428736,21.51
livingroom.pgm,512,512,0.5,70,100,30.847233,1.460576,21.11
livingroom.pgm,512,512,0.5,70,120,30.941120,1.437856,21.51
livingroom.pgm,512,512,1.0,30,80,29.628672,1.424640,20.79
livingroom.pgm,512,512,1.0,30,100,31.177280,1.444256,21.58
livingroom.pgm,512,512,1.0,30,120,29.590015,1.412576,20.94
livingroom.pgm,512,512,1.0,50,80,29.721760,1.441536,20.61
livingroom.pgm,512,512,1.0,50,100,29.920927,1.417728,21.10
livingroom.pgm,512,512,1.0,50,120,31.134144,1.444896,21.54
livingroom.pgm,512,512,1.0,70,80,30.976416,1.456256,21.27
livingroom.pgm,512,512,1.0,70,100,31.162369,1.446240,21.54
livingroom.pgm,512,512,1.0,70,120,31.107519,1.427808,21.78
livingroom.pgm,512,512,1.5,30,80,31.053024,1.447584,21.45
livingroom.pgm,512,512,1.5,30,100,36.878624,1.460416,25.25
livingroom.pgm,512,512,1.5,30,120,30.029152,1.411104,21.28
livingroom.pgm,512,512,1.5,50,80,37.015167,1.462240,25.31
livingroom.pgm,512,512,1.5,50,100,30.968704,1.450240,21.35
livingroom.pgm,512,512,1.5,50,120,38.615616,1.431136,26.98
livingroom.pgm,512,512,1.5,70,80,29.917473,1.435136,20.84
livingroom.pgm,512,512,1.5,70,100,34.367840,1.435712,23.93
livingroom.pgm,512,512,1.5,70,120,31.064896,1.435008,21.64
livingroom.pgm,512,512,2.0,30,80,30.893248,1.438400,21.47
livingroom.pgm,512,512,2.0,30,100,30.965729,1.433952,21.59
livingroom.pgm,512,512,2.0,30,120,30.848703,1.420256,21.72
livingroom.pgm,512,512,2.0,50,80,29.690048,1.439904,20.61
livingroom.pgm,512,512,2.0,50,100,31.109056,1.437600,21.63
livingroom.pgm,512,512,2.0,50,120,38.988895,1.481696,26.31
livingroom.pgm,512,512,2.0,70,80,30.895041,1.431904,21.57
livingroom.pgm,512,512,2.0,70,100,30.114080,1.412928,21.31
livingroom.pgm,512,512,2.0,70,120,30.984032,1.430176,21.66
livingroom.pgm,512,512,2.5,30,80,37.621887,1.438688,26.15
livingroom.pgm,512,512,2.5,30,100,30.040865,1.424352,21.09
livingroom.pgm,512,512,2.5,30,120,31.256832,1.447968,21.58
livingroom.pgm,512,512,2.5,50,80,30.693439,1.429344,21.47
livingroom.pgm,512,512,2.5,50,100,29.851456,1.419840,21.02
livingroom.pgm,512,512,2.5,50,120,30.913248,1.432064,21.58
livingroom.pgm,512,512,2.5,70,80,30.742592,1.439072,21.36
livingroom.pgm,512,512,2.5,70,100,30.867777,1.425824,21.64
livingroom.pgm,512,512,2.5,70,120,31.025984,1.446848,21.44
mandril.pgm,512,512,0.5,30,80,31.040064,1.435552,21.62
mandril.pgm,512,512,0.5,30,100,29.727297,1.434720,20.71
mandril.pgm,512,512,0.5,30,120,29.837280,1.417472,21.04
mandril.pgm,512,512,0.5,50,80,30.682880,1.444832,21.23
mandril.pgm,512,512,0.5,50,100,31.087936,1.471136,21.13
mandril.pgm,512,512,0.5,50,120,29.552160,1.447552,20.41
mandril.pgm,512,512,0.5,70,80,31.084543,1.469024,21.15
mandril.pgm,512,512,0.5,70,100,31.183777,1.436992,21.70
mandril.pgm,512,512,0.5,70,120,30.670176,1.422880,21.55
mandril.pgm,512,512,1.0,30,80,29.944897,1.447072,20.69
mandril.pgm,512,512,1.0,30,100,29.562689,1.433920,20.61
mandril.pgm,512,512,1.0,30,120,30.952831,1.450208,21.34
mandril.pgm,512,512,1.0,50,80,29.537504,1.433440,20.60
mandril.pgm,512,512,1.0,50,100,31.138592,1.439712,21.62
mandril.pgm,512,512,1.0,50,120,29.781887,1.436672,20.72
mandril.pgm,512,512,1.0,70,80,38.375198,1.596448,24.03
mandril.pgm,512,512,1.0,70,100,30.900385,1.443712,21.40
mandril.pgm,512,512,1.0,70,120,30.931265,1.459520,21.19
mandril.pgm,512,512,1.5,30,80,29.958303,1.428992,20.96
mandril.pgm,512,512,1.5,30,100,30.585535,1.450336,21.08
mandril.pgm,512,512,1.5,30,120,45.326241,1.548704,29.26
mandril.pgm,512,512,1.5,50,80,31.039425,1.456576,21.30
mandril.pgm,512,512,1.5,50,100,31.098112,1.448160,21.47
mandril.pgm,512,512,1.5,50,120,31.013569,1.448896,21.40
mandril.pgm,512,512,1.5,70,80,29.697857,1.436096,20.67
mandril.pgm,512,512,1.5,70,100,29.659519,1.451392,20.43
mandril.pgm,512,512,1.5,70,120,30.871296,1.455968,21.20
mandril.pgm,512,512,2.0,30,80,37.577793,1.435456,26.17
mandril.pgm,512,512,2.0,30,100,29.640480,1.426976,20.77
mandril.pgm,512,512,2.0,30,120,29.931135,1.440192,20.78
mandril.pgm,512,512,2.0,50,80,30.048512,1.423680,21.10
mandril.pgm,512,512,2.0,50,100,29.970144,1.445536,20.73
mandril.pgm,512,512,2.0,50,120,31.149759,1.426816,21.83
mandril.pgm,512,512,2.0,70,80,29.993343,1.412768,21.23
mandril.pgm,512,512,2.0,70,100,29.954687,1.415744,21.15
mandril.pgm,512,512,2.0,70,120,31.013216,1.451616,21.36
mandril.pgm,512,512,2.5,30,80,29.743328,1.413792,21.03
mandril.pgm,512,512,2.5,30,100,30.992161,1.443904,21.46
mandril.pgm,512,512,2.5,30,120,30.888927,1.458816,21.17
mandril.pgm,512,512,2.5,50,80,29.735071,1.417536,20.97
mandril.pgm,512,512,2.5,50,100,30.953377,1.440544,21.48
mandril.pgm,512,512,2.5,50,120,30.947905,1.455616,21.26
mandril.pgm,512,512,2.5,70,80,29.624416,1.417408,20.90
mandril.pgm,512,512,2.5,70,100,36.920895,1.460192,25.28
mandril.pgm,512,512,2.5,70,120,36.245056,1.475136,24.57
peppers_gray.pgm,512,512,0.5,30,80,31.189632,1.455456,21.42
peppers_gray.pgm,512,512,0.5,30,100,29.667809,1.442720,20.56
peppers_gray.pgm,512,512,0.5,30,120,30.919424,1.442880,21.42
peppers_gray.pgm,512,512,0.5,50,80,29.536896,1.428736,20.67
peppers_gray.pgm,512,512,0.5,50,100,31.003872,1.433504,21.62
peppers_gray.pgm,512,512,0.5,50,120,30.149632,1.430464,21.07
peppers_gray.pgm,512,512,0.5,70,80,30.930431,1.451360,21.31
peppers_gray.pgm,512,512,0.5,70,100,29.516928,1.424544,20.72
peppers_gray.pgm,512,512,0.5,70,120,29.864033,1.424544,20.96
peppers_gray.pgm,512,512,1.0,30,80,30.172895,1.431392,21.07
peppers_gray.pgm,512,512,1.0,30,100,36.826401,1.562400,23.57
peppers_gray.pgm,512,512,1.0,30,120,30.069824,1.435040,20.95
peppers_gray.pgm,512,512,1.0,50,80,29.806368,1.442944,20.65
peppers_gray.pgm,512,512,1.0,50,100,30.161407,1.428608,21.11
peppers_gray.pgm,512,512,1.0,50,120,29.650335,1.404800,21.10
peppers_gray.pgm,512,512,1.0,70,80,31.331713,1.463168,21.41
peppers_gray.pgm,512,512,1.0,70,100,30.029184,1.443680,20.80
peppers_gray.pgm,512,512,1.0,70,120,31.174623,1.427008,21.84
peppers_gray.pgm,512,512,1.5,30,80,30.190241,1.426272,21.16
peppers_gray.pgm,512,512,1.5,30,100,32.069534,1.514624,21.17
peppers_gray.pgm,512,512,1.5,30,120,36.700703,1.425504,25.74
peppers_gray.pgm,512,512,1.5,50,80,31.271168,1.442976,21.67
peppers_gray.pgm,512,512,1.5,50,100,30.264032,1.429824,21.16
peppers_gray.pgm,512,512,1.5,50,120,36.480766,1.429760,25.51
peppers_gray.pgm,512,512,1.5,70,80,30.824991,1.486240,20.74
peppers_gray.pgm,512,512,1.5,70,100,30.156576,1.441120,20.92
peppers_gray.pgm,512,512,1.5,70,120,29.793247,1.431328,20.81
peppers_gray.pgm,512,512,2.0,30,80,31.348608,1.436064,21.82
peppers_gray.pgm,512,512,2.0,30,100,29.813280,1.424160,20.93
peppers_gray.pgm,512,512,2.0,30,120,31.192385,1.433440,21.76
peppers_gray.pgm,512,512,2.0,50,80,30.763712,1.439104,21.37
peppers_gray.pgm,512,512,2.0,50,100,30.973696,1.434976,21.58
peppers_gray.pgm,512,512,2.0,50,120,29.904064,1.416032,21.11
peppers_gray.pgm,512,512,2.0,70,80,29.723969,1.447648,20.53
peppers_gray.pgm,512,512,2.0,70,100,29.720800,1.433952,20.72
peppers_gray.pgm,512,512,2.0,70,120,36.787521,1.492832,24.64
peppers_gray.pgm,512,512,2.5,30,80,30.735680,1.423040,21.59
peppers_gray.pgm,512,512,2.5,30,100,30.788448,1.456960,21.13
peppers_gray.pgm,512,512,2.5,30,120,29.625441,1.453568,20.38
peppers_gray.pgm,512,512,2.5,50,80,37.661152,1.438080,26.18
peppers_gray.pgm,512,512,2.5,50,100,31.323105,1.439968,21.75
peppers_gray.pgm,512,512,2.5,50,120,30.798080,1.466048,21.00
peppers_gray.pgm,512,512,2.5,70,80,30.822271,1.443264,21.35
peppers_gray.pgm,512,512,2.5,70,100,33.124126,1.430752,23.15
peppers_gray.pgm,512,512,2.5,70,120,29.976641,1.423264,21.06
pirate.pgm,512,512,0.5,30,80,37.108734,1.448736,25.61
pirate.pgm,512,512,0.5,30,100,29.992319,1.415360,21.19
pirate.pgm,512,512,0.5,30,120,29.912416,1.406016,21.27
pirate.pgm,512,512,0.5,50,80,29.853409,1.427616,20.91
pirate.pgm,512,512,0.5,50,100,29.974367,1.422848,21.06
pirate.pgm,512,512,0.5,50,120,31.086271,1.423968,21.83
pirate.pgm,512,512,0.5,70,80,30.872448,1.427008,21.63
pirate.pgm,512,512,0.5,70,100,29.859392,1.439872,20.73
pirate.pgm,512,512,0.5,70,120,29.834272,1.405760,21.22
pirate.pgm,512,512,1.0,30,80,31.231968,1.440288,21.68
pirate.pgm,512,512,1.0,30,100,29.871616,1.418304,21.06
pirate.pgm,512,512,1.0,30,120,30.929695,1.460576,21.17
pirate.pgm,512,512,1.0,50,80,38.509186,1.440896,26.72
pirate.pgm,512,512,1.0,50,100,30.892799,1.426976,21.64
pirate.pgm,512,512,1.0,50,120,32.502274,1.475360,22.03
pirate.pgm,512,512,1.0,70,80,37.140350,1.432032,25.93
pirate.pgm,512,512,1.0,70,100,29.687584,1.427776,20.79
pirate.pgm,512,512,1.0,70,120,,,
pirate.pgm,512,512,1.5,30,80,,,
pirate.pgm,512,512,1.5,30,100,,,
pirate.pgm,512,512,1.5,30,120,,,
pirate.pgm,512,512,1.5,50,80,38.121216,1.444704,26.38
pirate.pgm,512,512,1.5,50,100,37.894718,1.432352,26.45
pirate.pgm,512,512,1.5,50,120,29.561024,1.426528,20.72
pirate.pgm,512,512,1.5,70,80,36.819519,1.469504,25.05
pirate.pgm,512,512,1.5,70,100,29.882240,1.436832,20.79
pirate.pgm,512,512,1.5,70,120,37.087872,1.435744,25.83
pirate.pgm,512,512,2.0,30,80,29.956192,1.438304,20.82
pirate.pgm,512,512,2.0,30,100,37.841728,1.444096,26.20
pirate.pgm,512,512,2.0,30,120,30.858912,1.449248,21.29
pirate.pgm,512,512,2.0,50,80,29.853088,1.444800,20.66
pirate.pgm,512,512,2.0,50,100,30.935265,1.416128,21.84
pirate.pgm,512,512,2.0,50,120,30.011841,1.447744,20.73
pirate.pgm,512,512,2.0,70,80,30.025633,1.428928,21.01
pirate.pgm,512,512,2.0,70,100,31.122944,1.452832,21.42
pirate.pgm,512,512,2.0,70,120,36.482880,1.437024,25.38
pirate.pgm,512,512,2.5,30,80,31.253376,1.458848,21.42
pirate.pgm,512,512,2.5,30,100,30.003679,1.453984,20.63
pirate.pgm,512,512,2.5,30,120,31.045601,1.438240,21.58
pirate.pgm,512,512,2.5,50,80,29.707647,1.431008,20.75
pirate.pgm,512,512,2.5,50,100,36.904350,1.436960,25.68
pirate.pgm,512,512,2.5,50,120,31.040480,1.405728,22.08
pirate.pgm,512,512,2.5,70,80,36.549664,1.458304,25.06
pirate.pgm,512,512,2.5,70,100,31.074144,1.451648,21.40
pirate.pgm,512,512,2.5,70,120,31.104897,1.453856,21.39
walkbridge.pgm,512,512,0.5,30,80,,,
walkbridge.pgm,512,512,0.5,30,100,,,
walkbridge.pgm,512,512,0.5,30,120,30.980385,1.418816,21.83
walkbridge.pgm,512,512,0.5,50,80,31.018944,1.422976,21.79
walkbridge.pgm,512,512,0.5,50,100,31.028095,1.441312,21.52
walkbridge.pgm,512,512,0.5,50,120,30.110464,1.438944,20.92
walkbridge.pgm,512,512,0.5,70,80,31.174433,1.435680,21.71
walkbridge.pgm,512,512,0.5,70,100,30.071169,1.459136,20.60
walkbridge.pgm,512,512,0.5,70,120,30.752129,1.423456,21.60
walkbridge.pgm,512,512,1.0,30,80,31.008575,1.430368,21.67
walkbridge.pgm,512,512,1.0,30,100,36.631969,1.433376,25.55
walkbridge.pgm,512,512,1.0,30,120,31.118208,1.419296,21.92
walkbridge.pgm,512,512,1.0,50,80,29.993280,1.426112,21.03
walkbridge.pgm,512,512,1.0,50,100,30.675360,1.454272,21.09
walkbridge.pgm,512,512,1.0,50,120,36.339775,1.459776,24.89
walkbridge.pgm,512,512,1.0,70,80,30.971489,1.441024,21.49
walkbridge.pgm,512,512,1.0,70,100,30.928160,1.437120,21.52
walkbridge.pgm,512,512,1.0,70,120,29.698944,1.436384,20.67
walkbridge.pgm,512,512,1.5,30,80,36.497696,1.526784,23.90
walkbridge.pgm,512,512,1.5,30,100,31.398848,1.452608,21.61
walkbridge.pgm,512,512,1.5,30,120,31.001984,1.442784,21.48
walkbridge.pgm,512,512,1.5,50,80,31.199615,1.473056,21.18
walkbridge.pgm,512,512,1.5,50,100,37.016705,1.441376,25.68
walkbridge.pgm,512,512,1.5,50,120,30.024448,1.408384,21.31
walkbridge.pgm,512,512,1.5,70,80,29.903072,1.449472,20.63
walkbridge.pgm,512,512,1.5,70,100,34.816864,1.484608,23.45
walkbridge.pgm,512,512,1.5,70,120,30.933792,1.433312,21.58
walkbridge.pgm,512,512,2.0,30,80,29.923777,1.423424,21.02
walkbridge.pgm,512,512,2.0,30,100,30.872416,1.441344,21.41
walkbridge.pgm,512,512,2.0,30,120,30.029951,1.409120,21.31
walkbridge.pgm,512,512,2.0,50,80,30.988129,1.439616,21.52
walkbridge.pgm,512,512,2.0,50,100,37.404896,1.448768,25.81
walkbridge.pgm,512,512,2.0,50,120,29.765856,1.420832,20.94
walkbridge.pgm,512,512,2.0,70,80,31.011456,1.425632,21.75
walkbridge.pgm,512,512,2.0,70,100,30.773184,1.435968,21.43
walkbridge.pgm,512,512,2.0,70,120,29.801376,1.411840,21.10
walkbridge.pgm,512,512,2.5,30,80,30.082144,1.435584,20.95
walkbridge.pgm,512,512,2.5,30,100,31.040577,1.440864,21.54
walkbridge.pgm,512,512,2.5,30,120,30.139008,1.416544,21.27
walkbridge.pgm,512,512,2.5,50,80,30.800480,1.435008,21.46
walkbridge.pgm,512,512,2.5,50,100,37.706978,1.472352,25.61
walkbridge.pgm,512,512,2.5,50,120,37.394463,1.435168,26.05
walkbridge.pgm,512,512,2.5,70,80,35.569183,1.582272,22.47
walkbridge.pgm,512,512,2.5,70,100,31.269472,1.471744,21.24
walkbridge.pgm,512,512,2.5,70,120,29.840223,1.406560,21.21
